"batch" "cluster" "condition" "cell_name" "nomi_cluster"
"1" 2 "Cell competition ON" "24538_5#103" "ExE"
"1" 1 "Cell competition ON" "24538_5#105" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#106" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#107" "ExE"
"1" 1 "Cell competition OFF" "24538_5#111" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#112" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#113" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#114" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#115" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#119" "ExE"
"1" 1 "Cell competition OFF" "24538_5#120" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#121" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#122" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#123" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#124" "ExE"
"1" 1 "Cell competition ON" "24538_5#127" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#130" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#132" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#133" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#134" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#137" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#138" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#139" "Los Epi"
"1" 2 "Cell competition OFF" "24538_5#140" "ExE"
"1" 4 "Cell competition OFF" "24538_5#142" "Los Epi"
"1" 2 "Cell competition OFF" "24538_5#143" "ExE"
"1" 1 "Cell competition OFF" "24538_5#144" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#145" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#146" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#149" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#150" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#151" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#152" "ExE"
"1" 1 "Cell competition ON" "24538_5#154" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#156" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#157" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#160" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#161" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#163" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#164" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#165" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#167" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#168" "Intermediate"
"1" 1 "Cell competition ON" "24538_5#169" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#170" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#171" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#173" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#174" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#176" "ExE"
"1" 1 "Cell competition ON" "24538_5#178" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#179" "ExE"
"1" 2 "Cell competition OFF" "24538_5#181" "ExE"
"1" 3 "Cell competition OFF" "24538_5#183" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#184" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#186" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#187" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#188" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#189" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#192" "Intermediate"
"1" 1 "Cell competition ON" "24538_5#193" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#194" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#196" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#197" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#198" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#199" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#200" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#202" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#203" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#205" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#206" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#207" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#208" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#211" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#212" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#214" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#215" "Intermediate"
"1" 1 "Cell competition ON" "24538_5#217" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#218" "ExE"
"1" 1 "Cell competition ON" "24538_5#219" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#221" "Win Epi"
"1" 5 "Cell competition ON" "24538_5#222" "VE"
"1" 1 "Cell competition ON" "24538_5#224" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#225" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#226" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#227" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#228" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#230" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#231" "Los Epi"
"1" 2 "Cell competition OFF" "24538_5#232" "ExE"
"1" 3 "Cell competition OFF" "24538_5#233" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#234" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#235" "Los Epi"
"1" 4 "Cell competition OFF" "24538_5#236" "Los Epi"
"1" 2 "Cell competition OFF" "24538_5#238" "ExE"
"1" 1 "Cell competition OFF" "24538_5#239" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#242" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#243" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#245" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#246" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#248" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#250" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#252" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#253" "ExE"
"1" 4 "Cell competition OFF" "24538_5#254" "Los Epi"
"1" 4 "Cell competition OFF" "24538_5#256" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#257" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#259" "ExE"
"1" 1 "Cell competition OFF" "24538_5#260" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#261" "Intermediate"
"1" 5 "Cell competition OFF" "24538_5#263" "VE"
"1" 4 "Cell competition OFF" "24538_5#264" "Los Epi"
"1" 1 "Cell competition ON" "24538_5#266" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#268" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#269" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#270" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#271" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#272" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#273" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#275" "ExE"
"1" 1 "Cell competition ON" "24538_5#276" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#277" "ExE"
"1" 4 "Cell competition OFF" "24538_5#278" "Los Epi"
"1" 2 "Cell competition OFF" "24538_5#279" "ExE"
